Tree_ID,X,Y,Z,Tree_Height_m,Crown_Height_m,Crown_Diameter_m,Trunk_Height_m,Trunk_Diameter_m,Crown_R,Crown_G,Crown_B,Trunk_R,Trunk_G,Trunk_B
3172.0,2613471.564210526,1266663.218157895,256.96000034332275,8.61,5.74,4.92,2.87,0.82,42.0,49.0,46.0,139.0,69.0,19.0
3173.0,2613473.926875,1266680.845625,257.08000022888183,8.49,5.66,3.19,2.83,0.5316666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3174.0,2613372.459113924,1266740.7825316456,257.2300002670288,8.28,5.52,5.01,2.76,0.835,42.0,49.0,46.0,139.0,69.0,19.0
3175.0,2613257.1228571427,1266899.6800000002,254.65999958038333,10.81,7.206667,4.72,3.6033335,0.7866666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3176.0,2612539.0494444445,1266990.6966666668,257.47000020980835,7.97,5.3133335,7.57,2.6566668,1.2616666666666667,42.0,49.0,46.0,139.0,69.0,19.0
3177.0,2613392.6127586206,1266721.851551724,255.69,9.75,6.5,6.08,3.25,1.0133333333333332,42.0,49.0,46.0,139.0,69.0,19.0
3178.0,2613469.2684615385,1266667.7107692307,256.95000019073484,8.45,5.633333,4.55,2.8166666,0.7583333333333333,42.0,49.0,46.0,139.0,69.0,19.0
3179.0,2613394.4345454546,1266631.6981818182,256.64,8.75,5.8333335,5.92,2.9166667,0.9866666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3180.0,2613462.7933663367,1266691.377029703,256.9700001525879,8.41,5.6066666,5.67,2.8033333,0.945,42.0,49.0,46.0,139.0,69.0,19.0
3181.0,2613476.7108080806,1266678.8476767675,257.10999977111817,8.26,5.506667,5.61,2.7533336,0.935,42.0,49.0,46.0,139.0,69.0,19.0
3182.0,2613457.699767442,1266580.3823255815,256.80000003814695,8.54,5.6933336,5.23,2.8466668,0.8716666666666667,42.0,49.0,46.0,139.0,69.0,19.0
3183.0,2613430.054,1266698.356,255.60999965667725,9.64,6.426667,6.31,3.2133336,1.0516666666666665,42.0,49.0,46.0,139.0,69.0,19.0
3184.0,2613395.7576595745,1266726.8406382978,255.88000034332276,9.36,6.24,5.47,3.12,0.9116666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3185.0,2613306.3852083334,1266837.475833333,254.96000045776367,10.23,6.8199997,5.53,3.4099998,0.9216666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3186.0,2613437.7953543304,1266704.017007874,255.6100004196167,9.44,6.293333,6.36,3.1466665,1.06,42.0,49.0,46.0,139.0,69.0,19.0
3187.0,2612661.793265306,1266990.6718367347,257.7199998092651,7.3,4.866667,3.95,2.4333334,0.6583333333333333,42.0,49.0,46.0,139.0,69.0,19.0
3188.0,2613491.329029126,1266662.016893204,257.39999982833865,7.57,5.046667,5.73,2.5233335,0.9550000000000001,42.0,49.0,46.0,139.0,69.0,19.0
3189.0,2612530.5853571426,1266986.2407142858,255.81999988555907,9.13,6.086667,4.22,3.0433335,0.7033333333333333,42.0,49.0,46.0,139.0,69.0,19.0
3190.0,2613373.1616901406,1266695.361690141,255.77999980926512,9.05,6.033334,6.72,3.016667,1.1199999999999999,42.0,49.0,46.0,139.0,69.0,19.0
3191.0,2613233.503015873,1266946.5561904763,255.7299998474121,9.09,6.0600004,4.48,3.0300002,0.7466666666666667,42.0,49.0,46.0,139.0,69.0,19.0
3192.0,2613397.606190476,1266716.7704761906,255.63999992370606,9.17,6.1133337,5.78,3.0566669,0.9633333333333334,42.0,49.0,46.0,139.0,69.0,19.0
3193.0,2613489.4331914894,1266667.0959574468,257.55999998092653,7.23,4.82,5.47,2.41,0.9116666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3194.0,2613438.457868852,1266690.0840983607,255.95000030517576,8.82,5.88,6.23,2.94,1.0383333333333333,42.0,49.0,46.0,139.0,69.0,19.0
3195.0,2613456.1792957745,1266690.2630985917,256.559999961853,8.21,5.4733334,4.75,2.7366667,0.7916666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3196.0,2613378.557536232,1266671.3771014493,256.4599997329712,8.22,5.4800005,4.69,2.7400002,0.7816666666666667,42.0,49.0,46.0,139.0,69.0,19.0
3197.0,2613372.0953465346,1266732.9116831685,256.689999961853,7.96,5.306667,5.67,2.6533334,0.945,42.0,49.0,46.0,139.0,69.0,19.0
3198.0,2613387.465106383,1266727.2980851063,255.54000003814696,9.04,6.0266666,5.47,3.0133333,0.9116666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3199.0,2613406.7027272726,1266708.0254545456,256.15,8.25,5.5,4.18,2.75,0.6966666666666665,42.0,49.0,46.0,139.0,69.0,19.0
3200.0,2613233.9560869564,1266955.6126086956,254.4300004196167,9.94,6.6266665,3.83,3.3133333,0.6383333333333333,42.0,49.0,46.0,139.0,69.0,19.0
3201.0,2613368.002093023,1266727.622635659,257.3500000190735,7.02,4.6800003,6.41,2.3400002,1.0683333333333334,42.0,49.0,46.0,139.0,69.0,19.0
3202.0,2612437.586521739,1266995.7973913045,253.9699998855591,10.38,6.92,2.71,3.46,0.45166666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3203.0,2612666.026551724,1266991.2006896553,257.27999982833865,7.07,4.7133336,3.04,2.3566668,0.5066666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3204.0,2613415.926052632,1266624.5668421052,256.4700000953674,7.85,5.2333336,4.92,2.6166668,0.82,42.0,49.0,46.0,139.0,69.0,19.0
3205.0,2613485.7531884057,1266671.6379710145,257.1599998474121,7.09,4.726667,4.69,2.3633335,0.7816666666666667,42.0,49.0,46.0,139.0,69.0,19.0
3206.0,2613481.3741860464,1266595.0974418605,257.0700001525879,7.16,4.7733335,5.23,2.3866668,0.8716666666666667,42.0,49.0,46.0,139.0,69.0,19.0
3207.0,2612505.38,1266975.9371428571,255.82000011444092,8.37,5.58,2.11,2.79,0.3516666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3208.0,2613378.521891892,1266730.4944144145,255.49000019073486,8.7,5.8,5.94,2.9,0.99,42.0,49.0,46.0,139.0,69.0,19.0
3209.0,2613488.1241860464,1266628.184651163,257.33000009536744,6.85,4.5666666,5.23,2.2833333,0.8716666666666667,42.0,49.0,46.0,139.0,69.0,19.0
3210.0,2613379.544572864,1266721.9392964826,255.47000041961672,8.69,5.793333,7.96,2.8966665,1.3266666666666667,42.0,49.0,46.0,139.0,69.0,19.0
3211.0,2613351.981724138,1266788.3144827588,253.98000015258788,10.16,6.7733335,6.79,3.3866668,1.1316666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3212.0,2613400.266363636,1266721.7315151517,256.03000007629396,8.08,5.386667,5.61,2.6933334,0.935,42.0,49.0,46.0,139.0,69.0,19.0
3213.0,2613369.2648314605,1266721.782247191,256.8900001335144,7.14,4.76,5.32,2.38,0.8866666666666667,42.0,49.0,46.0,139.0,69.0,19.0
3214.0,2613462.71,1266618.175,256.7999999809265,7.23,4.82,5.64,2.41,0.94,42.0,49.0,46.0,139.0,69.0,19.0
3215.0,2613311.955757576,1266810.663333333,255.11000015258787,8.91,5.94,4.58,2.97,0.7633333333333333,42.0,49.0,46.0,139.0,69.0,19.0
3216.0,2612536.7885365854,1266983.250731707,256.9099998474121,7.09,4.726667,5.11,2.3633335,0.8516666666666667,42.0,49.0,46.0,139.0,69.0,19.0
3217.0,2613219.662608696,1266986.1397826087,253.61999977111816,10.26,6.84,5.41,3.42,0.9016666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3218.0,2612526.4425,1266961.3925,256.5499998283386,7.32,4.88,2.26,2.44,0.3766666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3219.0,2613231.8947058823,1266960.984411765,254.24999984741208,9.59,6.3933334,4.65,3.1966667,0.775,42.0,49.0,46.0,139.0,69.0,19.0
3220.0,2612548.093414634,1266992.9580487804,256.3,7.5,5.0,3.61,2.5,0.6016666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3221.0,2612553.669473684,1266992.7773684212,256.5000001144409,7.12,4.746667,3.48,2.3733335,0.58,42.0,49.0,46.0,139.0,69.0,19.0
